Name,Technologies
Sigmah,"['gwt', 'java', 'postgresql']"
Software Product Data Exchange (SPDX),"['rdf', 'python', 'java', ' github', 'c']"
STE||AR Group,"['c++', 'boost', 'hpx', 'c++17 parallel stl', 'parallel algorithms']"
"Stony Brook University, Biomedical Informatics","['big data', 'apache spark', 'matlab', 'c++', 'hadoop']"
strace,"['linux', 'c', 'git', 'shell script', 'make']"
Sugar Labs,"[' python', 'javascript', 'gtk', 'android']"
Sustainable Computing Research Group ( SCoRe ),"['python', 'java', 'gcp', 'android', 'golan']"
SymPy,"['python', 'c++']"
"Systers, an Anita Borg Institute community","['android', 'ios', 'python', 'java', 'javascript ']"
TEAMMATES @ National University of Singapore,"['java', ' javascript', 'google app engine', 'css', 'java ee']"
The Center for Connected Learning and Computer-Based Modeling,"['javascript', 'scala', 'html5']"
The CGAL Project,"['c++', 'git', 'github']"
The Eclipse Foundation,"['java', 'geo', 'iot', 'che', 'ide']"
The FreeType Project,"['fonts', 'opentype', 'c', 'library']"
The GNU Project,"['c', 'guile', 'python']"
The Honeynet Project,"[' python', 'javascript', 'golang', 'android', 'network stack']"
The Java Pathfinder Team,"['java', ' jvm', ' android', ' distributed systems']"
The Julia Language,"['julia', ' javascript', 'gpu', 'c/c++', 'llvm']"
The Libreswan Project,"['c', 'python', ' shell script']"
The Linux Foundation,"['c', 'c++', 'cups', 'mysql', 'gtk']"
The MacPorts Project,"['tcl', 'make', 'git']"
The NetBSD Foundation,"['virtualization', 'filesystems', 'network stack', 'arm', 'mips']"
The ns-3 Network Simulator Project,"['c++', 'python']"
The Processing Foundation,"['java', ' javascript', ' python', ' android', ' opengl']"
The Wine Project,"['c', ' opengl', ' directx', ' x11', ' win32']"
Tiled,"['qt', 'c++', 'git', 'github']"
TimVideos,"['python', 'verilog', 'fpga', 'vhdl', 'c']"
Tor,"['c', ' python', 'javascript', 'c++']"
UCSC Xena,"['javascript', 'react', 'clojure', 'd3', 'python']"
"Urban Energy Systems Laboratory, Empa","['python', 'gis', 'fast fluid dynamics']"
VideoLAN,"['c++', 'c', 'opengl', 'qt', 'assembly']"
ViSP,"['vision', ' c++']"
Wikimedia Foundation,"['php ', 'javascript ', ' html ', ' css ', ' jquery']"
WorldBrain - Verifying the Internet with Science,"['reactjs', ' javascript']"
WSO2,"['soa', 'middleware', 'java', 'distributed computing', 'web services']"
wxWidgets,"['c++', 'gtk+', 'win32', 'cocoa']"
X.Org Foundation,"['opengl', 'vulkan', 'x11', 'wayland', 'opencl']"
Xapian Search Engine Library,"['c++', 'unicode', 'swig', 'linux', 'golang']"
XBMC Foundation,"['python', 'c++11', 'xml', 'git', 'drupal']"
Xen Project,"['linux', 'free/netbsd', 'asm/c/c++', 'qemu', 'ocaml']"
XMPP Standards Foundation,"['xmpp', 'c++', 'java', 'erlang', 'javascript']"
XWiki,"['java', ' javascript', ' html5', ' css3', ' velocity']"
Zenodo,"['python', 'postgresql', 'flask', 'angularjs', 'elasticsearch']"
Zulip,"['python', 'django', 'javascript', 'react native', 'electron']"
